상세시설ID,상세시설명
1173,"4층대강당, 3층 운동실, 3층 3교육실"
1174,"2층 체육관(솔빛채, 별관건물)"
1175,"2층 체육관(도담관, 본관)"
1176,"1~3층 프로그램실, 4층대강당"
1177,2층 체육관(별관건물)
1178,강당(교사시설 2층)
1179,체육관(교사시설 2층)
1180,"2층 체육관(오성채움관, 별관건물)"
1181,"1층 도서관(별관), 1~2층교사동(본관),"
1182,"2층 체육관,"
1183,1~5층 일반교실
1184,5층 다목적교실
1185,2~5층 일반교실
1186,3층 체육관(E동)
1187,"3층 강당(체육관 겸용, 별관건물)"
1188,3층다목적실
1189,프로그램실 등
1190,보람관(체육관)
1191,다목적실(교사시설 5층)
1192,다목적실(교사시설 2층)
1193,강당(교사시설 4층)
1194,강당동(다목적강당 3층)
1195,강당(교사시설 3층)
1196,체육관(늘봄관 2층)
1197,강당(급식소 및 강당동 2층)
1198,강당(교사시설 5층)
1199,"체육관, 강의실 등"
1200,강당(목련관2층)
1201,경연관(교육시설 2층-강당)
1202,강당(본관 2층)
1203,체육관 강당겸용(교사시설 3층)
1204,다목적실(강당2층)
1205,체육관 강당겸용(교사시설 4층))
1206,분관
1207,"수련원, 체육관"
1208,솔빛관(숙소)
1209,"생활관 A, B동"
1210,느티나무홀 3층(강당)
1211,해누리관 2층
1212,본관 5층 다목적실(강당)
1213,덕성관 2층 강당
1214,청사
1215,연수기관
1216,체육관(교사동 2층)
1217,남부문화스포츠센터
1218,고대초등학교 강당
1219,삼봉초등학교 체육관
1220,조금초등학교 체육관
1221,천의초등학교 강당
1222,순성중학교 체육관
1223,순성초등학교 강당
1224,서정초등학교 체육관
1225,체육관(내진양호)
1226,덕지관
1227,"급식실,체육관"
1228,지하창고
1229,체육관(교사시설 1층)
1230,교회2층
1231,홍제3동주민센터
1232,유곡초등학교 강당
1233,계성초등학교 체육관
1234,당진교육문화스포츠센터
1235,당진중학교
1236,성당초등학교
1237,원당초등학교 체육관
1238,자치센터
1239,장애인복지관
1240,노인복지관
1241,기숙사 2층
1242,다목적강당 2층
1243,다솜리조트
1244,급식실 2층
1245,다목적교실 1층
1246,다목적교실 1실
1247,"문기초등학교 2층 체육관, 강당"
1248,"공도초등학교 2층 체육관, 강당"
1249,신관(다목적체육회관)
1250,명지대방목학술정보관
1251,어울초등학교 2층 체육관
1252,장서2리경로당
1253,미곡초등학교 후관동 2층 다목적실
1254,2층 체육관 다목적실
1255,일죽행정복지센터 3층 다목적홀
1256,강당(본관 5층)
1257,비룡초등학교 체육관
1258,안성여자고등학교 체육관(터울림관)
1259,공도중학교 1층 체육관
1260,만정초등학교 2층 다목적 강당
1261,공도읍행정복지센터 2층 다목적홀
1262,만정중학교 체육관
1263,경기창조고등학교 2층 체육관
1264,양진중학교 2층 체육관
1265,보개초등학교 3층 강당
1266,동신초등학교 체육관(해빛관)
1267,개산초등학교 1층 체육관(모룻돌 체육관)
1268,9호동 2층 체육관
1269,서운중학교 강당
1270,별관 2층 도서실
1271,서운초등학교 체육관
1272,개정초등학교 2층 강당
1273,미양초등학교 체육관
1274,두원공업고등학교 다목적체육관
1275,대덕초등학교 체육관
1276,명덕초등학교 체육관
1277,죽화초등학교 배움누리터 강당
1278,"죽산초등학교 1층 체육관, 강당"
1279,해솔관 체육관
1280,두원공과대학교 천마체육관 1층 경기장
1281,한겨례고등학교 1층 체육관
1282,광선초등학교 교사2동 1층 다목적실
1283,삼죽초등학교 체육관
1284,고삼초등학교 1층 다목적실
1285,안성여자중학교 비솔체육관
1286,안성초등학교 강당
1287,명륜여자중학교 2층 다목적실
1288,가온고등학교 체육관
1289,한경대학교 체육관 1층 104호
1290,내혜홀초등학교 2층 체육관
1291,백성초등학교 2층 체육관
1292,안성고등학교 체육관(1층)
1293,비룡중학교 청솔관 체육관(2층)
1294,안청중학교 체육관
1295,3층 수주마당
1296,6층
