상세시설ID,상세시설명
156,4층 대강당
157,본관 2층 체육관
158,"2층 소회의실, 3층 대회의실"
159,본관 1~5층 교실
160,다목적강당(별도건물 2층)
161,2층 다목적 강당
162,다목적교실동
163,다목적강당동
164,강당동
165,3동 다목적강당동
166,라동 일용체육관동
167,"강당(2,3층)"
168,"꿈나래관, 체육관"
169,강당(본관 4층)
170,강당(8층)
171,회의실
172,급식소
173,장기황어체육관
174,동 행정복지센터
175,체육관동
176,급식동
177,다목적교실
178,대피시설
179,"1층(여), 2층(남)"
180,강당(교사동 2층)
181,다목적실(교사동 4층)
182,강당(교사동 1층)
183,강당(교사동2층)
184,강당(교사2동 3층)
185,본당(3층)
186,전시실(지하1층)
187,88실
188,종합체육관
189,연습실
190,갤러리
191,소극장
192,스튜디오3
193,나래관 강당(2층)
194,"교사동,강당(2층)"
195,"교사동,급식소,강당(2동 2층)"
196,지하1층 다목적체육실
197,전체
198,1층 대회의실
199,급식실
200,1층 대강당
201,지하1층 생활체육실
202,가동교사 2층 다목적실
203,2층 강의실
204,별관 지하1층
205,교사1동 1층내 강당
206,3층 대강당
207,강당 (본관 3층)
208,강당(지하1층)
209,대강당(3층)
210,체육관(3층 다목적관)
211,체육관(3층)
212,다목적홀(3층)
213,학습관
214,강당(소뫼관)
215,후관동
216,다목적회관(강당)
217,북부노인복지관
218,한국기계연구원
219,본관 3층 강당
220,유가읍사무소
221,후관동 3층 강당
222,실습4동
223,씨름장
224,체육관(지하 1층)
225,대회의실 (본관 2층)
226,4층 체육관
227,조암9리경로당
228,5층 체육관
229,본관 3층
230,1층 강당 및 대기실
231,다목적실(4F)
232,체육관(본관동 3층)
233,체육관(본관동 5층)
234,체육관(라동)
235,학생식당(급식동 2층)
236,"다목적실(본관동1F),체육관(체육관동 2F)"
237,경로당(1~2층)
238,다목적강당(강당동 2층)
239,"소예배실(지하2층), 찬양대실(6층)"
240,다목적강당(본관동 5층)
241,나동 체육관
242,"다목적 강당 3,4층"
243,"본관동 전산교육실,양호실, 다목적실"
244,"교사동2층 강당, 체육관"
245,유치원
246,마을회관
247,민간숙박
248,2인실 객실
249,교사동(본관) 3~4층
250,체육관(별동)
251,어울터(강당및체육관)
252,유스호스텔 숙소동
253,교사2호동 교실
254,체육관(교사동2층)
255,2층 다목적실(황곡누리관)
256,4층 다목적실
257,도담관(체육관)
258,"1층 탁구실(193.16㎡),3층 다목적실(1"
259,교사1호동 3층 체육관
260,"1층 예절실(101.25㎡), 4층 체육실(1"
261,3층 다목적강당
262,금천 문화원 강당
263,교육관 강당
264,4층 문화관람실
265,2층 다목적강당
266,본관 목적강당
267,5층 대강당
268,"취미교실,대회의실"
269,2층 중회의실
270,"1,2층"
271,"1,2,3층"
272,2층 다목적실
273,2층
274,2층-3층
275,3층
276,곡반정경로당
277,"본관(남,여)"
278,"대회의실,체력단련실 등"
279,1층 회의실
280,스탠다드/트윈실
281,교사동 등 전체
282,다목적교실(강당)
283,본관(2층 건물)
284,2층 A동 체육관
285,2층 실내체육관
286,다목적체육관(12동)
287,1~4층 교실
288,별관 3층 체육관
289,"1~2층 교실, 1층 도서실, 1층 체육관"
290,"2층 회의실, 노래교실"
291,별관 4층 체육관
292,1~3층 교실
293,"체육관, 1~5층 교실"
294,5층 다목적 강당
295,"1~4층 본관, 별관 4층 체육관"
296,"2층 체육관, 1~5층 교실, 별관 2~5층"
297,3층 8호동 체육관
298,"2층 대회의실, 3층 탁구장,풋살장, 프로그램"
299,3층 다목적 강당
300,6층 다목적 강당
